AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_12|VENTAS_NETAS_TARIFA_0|EXPORTACIONES|COMPRAS_NETAS_TARIFA_12|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2024|1|R|AZUAY|CUENCA|1022873,6200|214709,3500|0,0000|555461,2000|189577,4000|124685,5500|48820,3200|918544,4700|1237582,9700
2024|2|G|CHIMBORAZO|ALAUSI|202028,4700|148856,0000|0,0000|236714,8900|107999,3500|582,1000|110,5000|345406,8400|350884,4800
2024|2|M|CAÑAR|SUSCAL|4998,7500|1464,0100|0,0000|4895,8300|796,1600|0,0000|0,0000|5691,9900|6462,7600
2024|2|G|ORELLANA|LORETO|458464,8800|546119,7500|0,0000|612054,9000|510071,7800|247,4700|45021,7900|1167395,9400|1004584,6300
2024|1|F|GALAPAGOS|ISABELA|45595,0000|4765,0000|0,0000|10819,5500|5906,8000|0,0000|950,0000|17677,3500|50361,0000
2024|2|H|AZUAY|SEVILLA DE ORO|2975,4100|85935,7800|0,0000|4991,3900|58961,6200|0,0000|120,0000|64073,0100|88911,2000
2024|2|I|BOLIVAR|CHILLANES|1828,1600|1661,3700|0,0000|2208,9300|352,3600|0,0000|135,0000|2696,2900|3489,5300
2024|2|I|GUAYAS|MILAGRO|343221,6900|175326,1000|0,0000|286718,5800|115045,3100|0,0000|8630,8100|410394,7000|518548,7900
2024|2|Q|ESMERALDAS|ATACAMES|5141,9900|4511,4900|0,0000|5621,9100|3069,2800|0,0000|0,0000|8691,1900|9703,4800
2024|2|F|TUNGURAHUA|SANTIAGO DE PILLARO|104137,4700|207,4500|0,0000|264909,6900|9553,1400|0,0000|11972,2900|286435,1200|104344,9200
2024|2|S|PICHINCHA|PEDRO VICENTE MALDONADO|12087,4400|28215,7600|0,0000|5132,2400|25860,9700|0,0000|883,0500|31876,2600|40303,2100
2024|2|S|CHIMBORAZO|COLTA|776,8000|104478,9100|0,0000|274565,8300|9974,2500|0,0000|13882,7200|298422,8000|105255,7100
2024|2|O|NAPO|TENA|3954,1600|137420,1800|0,0000|1896670,3400|289701,4900|0,0000|2822,5000|2189194,3300|142478,5900
2024|1|Q|GUAYAS|SANTA LUCIA|644,2800|3417,0500|0,0000|759,2500|2011,4100|0,0000|0,0000|2770,6600|4061,3300
2024|2|G|COTOPAXI|SAQUISILI|907280,7000|1583782,9500|78454,0200|821969,4900|714483,3500|220713,1700|32975,9600|1790141,9700|2569517,6700
2024|2|H|MANABI|JAMA|3403,1800|3890,4800|0,0000|5140,7100|1436,2600|0,0000|0,0000|6576,9700|7293,6600
2024|2|F|MANABI|SANTA ANA|41191,1800|1641,7400|0,0000|32019,4300|9249,3600|0,0000|71,7500|41340,5400|42832,9200
2024|2|C|BOLIVAR|CHIMBO|9508,4500|14904,0200|0,0000|11603,9700|8007,6200|0,0000|192,2000|19803,7900|24412,4700
2024|1|O|ESMERALDAS|RIO VERDE|10,0000|1228,0000|0,0000|462948,0400|2,1000|0,0000|0,0000|462950,1400|1238,0000
2024|1|F|MORONA SANTIAGO|TAISHA|78536,1400|23378,4000|0,0000|171955,7700|32888,5000|0,0000|1603,4800|206447,7500|101914,5400
2024|1|L|ESMERALDAS|MUISNE|3945,3000|0,0100|0,0000|258,7500|37,7300|0,0000|0,0000|296,4800|3945,4100
2024|1|R|LOS RIOS|VINCES|11546,2000|1758,3400|0,0000|5691,2100|472,0000|0,0000|0,0000|6163,2100|13304,5400
2024|1|O|MANABI|EL CARMEN|10963,4400|9766,3400|0,0000|171504,9300|45565,0000|0,0000|0,0000|217069,9300|20729,7800
2024|1|F|ZAMORA CHINCHIPE|YANTZAZA|293910,8500|7708,7400|0,0000|659758,3900|22557,1300|0,0000|18745,0500|701060,5700|301619,5900
2024|1|J|LOJA|GONZANAMA|1732,0300|0,0000|0,0000|1870,0200|149,7800|0,0000|0,0000|2019,8000|1732,0300
2024|1|F|GUAYAS|SALITRE|187775,3200|2431,6600|0,0000|215790,1600|1966,4700|0,0000|0,0000|217756,6300|190226,9800
2024|1|G|MANABI|JAMA|411924,0100|245613,2600|0,0000|480010,0700|157441,0300|0,0000|113,0000|637564,1000|657687,2700
2024|1|N|CAÑAR|AZOGUES|259947,8200|25641,6200|0,0000|109939,2000|54986,6300|0,0000|10902,8900|175828,7200|285589,4400
2024|1|V|LOJA|LOJA|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000
2024|1|J|CAÑAR|AZOGUES|1355341,1500|550,0000|0,0000|1096716,1300|12459,2500|359208,0700|4212,5500|1478486,0000|1355891,1500
2024|6|I|PICHINCHA|PEDRO MONCAYO|273065,1400|615709,8100|0,0000|220367,3700|372756,3500|0,0000|59146,7300|655013,2100|888774,9600
2024|1|S|MANABI|PAJAN|100,5000|8272,7700|0,0000|1261,0000|19,1800|0,0000|1925,0000|3205,1800|8373,2700
2024|1|I|CAÑAR|BIBLIAN|2162,0000|1935,0000|0,0000|1717,1000|655,2800|0,0000|0,0000|2372,3800|4097,0000
2024|1|A|BOLIVAR|ECHEANDIA|22784,7600|364172,1500|0,0000|17748,3900|446540,0200|0,0000|0,0000|464288,4100|386956,9100
2024|1|F|ORELLANA|AGUARICO|24896,4500|0,0100|0,0000|202763,4200|4589,5700|0,0000|0,0000|207352,9900|24896,4600
2024|1|M|LOS RIOS|MONTALVO|77154,4500|47922,8600|0,0000|53601,8900|36173,2200|0,0000|13,1400|89788,2500|125077,3100
2024|1|F|LOJA|CELICA|41474,3700|0,0600|0,0000|10248,7400|148,5000|0,0000|68,0000|10500,6000|41474,4400
2024|1|B|CHIMBORAZO|GUANO|146904,8700|1345,0000|0,0000|45471,0800|211,9800|0,0000|0,0000|45683,0600|148249,8700
2024|1|G|NAPO|EL CHACO|453051,8200|232719,6400|0,0000|321912,5500|136816,2800|0,0000|792,0000|459520,8300|686271,4600
2024|1|A|BOLIVAR|CALUMA|31480,0300|496072,8900|0,0000|31974,2600|167595,5000|0,0000|59384,0000|258953,7600|527552,9200
2024|1|A|ZAMORA CHINCHIPE|YANTZAZA|44244,5400|52830,8900|0,0000|77495,4900|31443,7500|0,0000|1108,1000|110047,3400|97075,4300
2024|1|N|MANABI|JAMA|2547,4700|10,0000|0,0000|1219,7600|5102,2400|0,0000|0,0000|6322,0000|2557,4700
2024|1|F|GALAPAGOS|SANTA CRUZ|91722,4200|22927,5000|0,0000|70000,8100|14265,9900|0,0000|1629,3000|86046,1000|114649,9200
2024|2|A|LOS RIOS|PUEBLO VIEJO|70563,6500|4974551,2200|0,0000|520767,0800|2492622,5900|86554,0400|32116,2000|3132059,9100|5045114,8800
